CLOCK;MEMORY_USED;PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;PAPI_L2_TCA;PAPI_L3_TCA
854633286;460800;36632;77237;249;36023;77237
854356710;460800;36685;78291;268;36160;78291
854226076;460800;36624;78247;226;36046;78247
854240570;460800;36641;79011;363;36087;79011
873269192;471040;37431;79064;330;36855;79064
881745706;471040;37477;82631;10354;36774;82631
873685676;471040;37431;79896;541;36838;79896
873540400;471040;37479;77815;555;36930;77815
873558334;471040;37415;80295;494;36778;80295
873734618;471040;37460;80792;312;36850;80792
873654440;471040;37441;81834;604;36825;81834
872781068;471040;37463;80691;397;36873;80691
873625592;471040;37478;82223;726;36901;82223
873182852;471040;37470;81513;542;36842;81513
897614960;481280;38378;84096;676;37787;84096
892500842;481280;38245;84142;405;37616;84142
897312668;481280;38206;84284;619;37551;84284
897349874;481280;38248;84572;524;37616;84572
896952482;481280;38223;84358;405;37573;84358
892293756;481280;38240;83428;352;37607;83428
897858192;481280;38268;83974;528;37633;83974
896994932;481280;38225;84719;357;37586;84719
891912024;481280;38243;84700;391;37617;84700
891895432;481280;38238;83943;290;37608;83943
910974208;491520;39072;86093;453;38422;86093
910916326;491520;39054;85188;328;38392;85188
910748084;491520;39006;85084;490;38373;85084
916426880;491520;39055;85343;507;38411;85343
910988244;491520;39036;85473;420;38375;85473
916435624;491520;39162;83794;555;38555;83794
911677958;491520;39022;84485;385;38453;84485
916577434;491520;39105;83811;809;38464;83811
911622356;491520;39239;86441;364;38663;86441
911017132;491520;39056;83601;503;38382;83601
929710944;501760;39871;86134;290;39240;86134
935461478;501760;39945;84106;407;39298;84106
930432740;501760;39911;86516;349;39242;86516
935468892;501760;39835;85921;527;39189;85921
930025908;501760;39871;86406;474;39217;86406
935025330;501760;39813;83893;415;39233;83893
930262218;501760;39857;85347;669;39229;85347
934901402;501760;39841;85112;447;39165;85112
930377988;501760;39849;85520;455;39196;85520
930082666;501760;39872;85298;527;39232;85298
954337834;512000;40725;88585;769;40123;88585
948918194;512000;40677;86605;400;40011;86605
948994788;512000;40673;87619;485;39992;87619
949446282;512000;40629;87898;779;39942;87898
949119898;512000;40665;87193;714;39990;87193
954665674;512000;40689;87455;984;40027;87455
949001338;512000;40673;88201;637;39990;88201
954182506;512000;40687;86993;1022;40020;86993
948670918;512000;40694;89254;604;40011;89254
950074814;512000;40799;89306;2681;40179;89306
968549132;522240;41510;91289;928;40855;91289
975708630;522240;41515;92532;6821;40812;92532
974683648;522240;41544;91529;1516;40849;91529
968759596;522240;41506;90217;782;40813;90217
968695240;522240;41472;91594;805;40798;91594
973640692;522240;41461;89857;888;40761;89857
968971260;522240;41438;91069;702;40730;91069
969996492;522240;41494;91460;918;40801;91460
969041728;522240;41500;90841;724;40791;90841
974195782;522240;41486;91099;1172;40787;91099
986968570;532480;42299;91216;566;41563;91216
987194452;532480;42341;91543;556;41641;91543
987012522;532480;42237;92369;543;41475;92369
997018506;532480;42449;92338;2034;41811;92338
991319032;532480;42431;93178;1095;41787;93178
995725732;532480;42321;93122;474;41582;93122
988414054;532480;42355;93139;374;41636;93139
988452110;532480;42390;92813;283;41681;92813
988520874;532480;42368;92385;302;41673;92385
988300970;532480;42489;92232;506;41834;92232
1007954570;542720;43181;94703;317;42457;94703
1011748048;542720;43169;93889;462;42465;93889
1007304470;542720;43210;94359;473;42527;94359
1013334378;542720;43148;94433;777;42414;94433
1007125806;542720;43119;96071;845;42393;96071
1011019194;542720;43080;94918;380;42333;94918
1014501142;542720;43263;93549;746;42602;93549
1006484732;542720;43155;97175;221;42469;97175
1013317944;542720;43186;94076;312;42474;94076
1013026554;542720;43102;95244;453;42362;95244
1030077856;552960;43908;97277;546;43148;97277
